geneName,type
PRDM14,E5-EPI
DPPA5,E5-EPI
GDF3,E5-EPI
ESRG,E5-EPI
KLF17,E5-EPI
IFITM1,E5-EPI
ARGFX,E5-EPI
MEG3,E5-EPI
TDGF1,E5-EPI
NODAL,E5-EPI
SOX2,E5-EPI
TDGF1P3,E5-EPI
CBFA2T2,E5-EPI
MAN1C1,E5-EPI
DND1,E5-EPI
LRP4,E5-EPI
BCOR,E5-EPI
DPPA2,E5-EPI
SLC25A12,E5-EPI
GUCA1A,E5-EPI
NANOG,E5-EPI
SLC16A9,E5-EPI
FBP1,E5-EPI
FGF4,E5-EPI
CCDC80,E5-EPI
UTF1,E5-EPI
BTLA,E5-EPI
ETV4,E5-EPI
MT1X,E5-EPI
LDLRAP1,E5-EPI
LIM2,E5-EPI
UPP1,E5-EPI
WNT3,E5-EPI
CDHR1,E5-EPI
NRBP2,E5-EPI
TNFRSF8,E5-EPI
AARS2,E5-EPI
PBX3,E5-EPI
ITFG3,E5-EPI
FOXD3-AS1,E5-EPI
LINC01108,E5-EPI
SERINC5,E5-EPI
FAM124A,E5-EPI
CFLAR,E5-EPI
SH3PXD2A,E5-EPI
VSNL1,E5-EPI
DOCK6,E5-EPI
GK,E5-EPI
ZYG11A,E5-EPI
TRIM56,E5-EPI
MIAT,E5-EPI
SAT1,E5-EPI
ZIC3,E5-EPI
IL23A,E5-EPI
CREBL2,E5-EPI
FRAT2,E5-EPI
MYCL,E5-EPI
REST,E5-EPI
PRICKLE1,E5-EPI
MT1G,E5-EPI
IGFBP2,E5-EPI
KAT7,E5-EPI
SCRN1,E5-EPI
MDFI,E5-EPI
MT2A,E5-EPI
C9orf135,E5-EPI
ACOT11,E5-EPI
SERPINB9,E5-EPI
PKD1L1,E5-EPI
ITGAM,E5-EPI
GTF3C1,E5-EPI
PTPN12,E5-EPI
MT1H,E5-EPI
ASPA,E5-EPI
YIPF4,E5-EPI
MTMR14,E5-EPI
PQLC1,E5-EPI
PLSCR4,E5-EPI
WARS,E5-EPI
PGM2L1,E5-EPI
SIAH1,E5-EPI
ANKK1,E5-EPI
CEP164,E5-EPI
ESAM,E5-EPI
TMEM106A,E5-EPI
AIM1,E5-EPI
PPP1R12B,E5-EPI
MT1F,E5-EPI
CALHM2,E5-EPI
C1orf64,E5-EPI
SFRP1,E5-EPI
ZC3HAV1,E5-EPI
NLRC4,E5-EPI
PNRC1,E5-EPI
VCAN,E5-EPI
SMG1P7,E5-EPI
TNFAIP3,E5-EPI
PDE4D,E5-EPI
GCM1,E5-EPI
ZFYVE1,E5-EPI
LINC00261,E5-PE
P4HA1,E5-PE
COL4A1,E5-PE
HNF1B,E5-PE
FRZB,E5-PE
AMOTL1,E5-PE
PDGFRA,E5-PE
CADM1,E5-PE
NID2,E5-PE
APOA1,E5-PE
RSPO3,E5-PE
CTSE,E5-PE
GATA4,E5-PE
DPP4,E5-PE
TRIM2,E5-PE
COL4A2,E5-PE
DENND2C,E5-PE
NID1,E5-PE
DEPDC7,E5-PE
LOC101929344,E5-PE
CELA3A,E5-PE
FOXA2,E5-PE
SALL1,E5-PE
APOA2,E5-PE
RGS5,E5-PE
SLCO2A1,E5-PE
TMEM123,E5-PE
PROS1,E5-PE
PIK3R1,E5-PE
EDEM1,E5-PE
KIFAP3,E5-PE
CCAT1,E5-PE
HMGCR,E5-PE
ABHD6,E5-PE
VWA5A,E5-PE
MAP2K6,E5-PE
FRMD6,E5-PE
POMC,E5-PE
KIT,E5-PE
LBH,E5-PE
SERPINH1,E5-PE
LGALS2,E5-PE
TMEM171,E5-PE
SRGAP1,E5-PE
GPX2,E5-PE
LINC01356,E5-PE
RAB37,E5-PE
CRYZ,E5-PE
GSN,E5-PE
SPATS2L,E5-PE
HN1,E5-PE
CA4,E5-PE
SELT,E5-PE
FGFR3,E5-PE
ALDH2,E5-PE
UACA,E5-PE
PLOD1,E5-PE
F3,E5-PE
PXDN,E5-PE
EXT1,E5-PE
GYPC,E5-PE
HAS2,E5-PE
PHLDA1,E5-PE
CEACAM1,E5-PE
NFE2,E5-PE
JUND,E5-PE
LGALS12,E5-PE
LMBRD1,E5-PE
TWIST1,E5-PE
IL1RAP,E5-PE
ABHD16A,E5-PE
